鄉鎮市區,交易年月日,建物移轉總面積平方公尺,總價元,車位總價元,資料來源,縣市,房屋單價（元/平方公尺）
安樂區,1110201,271.17,10500000,0,成屋,基隆市,38721.09746653391
中正區,1110209,63.6,4200000,0,成屋,基隆市,66037.7358490566
安樂區,1110215,134.32999999999998,11639999,0,成屋,基隆市,86652.26680562794
暖暖區,1110206,71.33,3600000,0,成屋,基隆市,50469.64811439787
暖暖區,1110207,116.89,5000000,0,成屋,基隆市,42775.25879031568
仁愛區,1110211,53.08,5200000,0,成屋,基隆市,97965.33534287868
暖暖區,1110211,166.03,6200000,0,成屋,基隆市,37342.64891887009
中正區,1110214,68.73,3500000,0,成屋,基隆市,50923.905136039575
中正區,1110218,116.76,3500000,0,成屋,基隆市,29976.019184652276
暖暖區,1110215,81.23,4100000,0,成屋,基隆市,50473.96282161763
暖暖區,1110211,68.13,2900000,0,成屋,基隆市,42565.68325260532
暖暖區,1110208,114.95,4200000,0,成屋,基隆市,36537.62505437146
中正區,1110215,85.45,3300000,0,成屋,基隆市,38619.075482738444
信義區,1110219,78.27,3020000,0,成屋,基隆市,38584.38737702824
中正區,1110220,127.3,5650000,0,成屋,基隆市,44383.34642576591
七堵區,1110208,117.04,9500000,0,成屋,基隆市,81168.83116883117
暖暖區,1110214,103.93,4500000,0,成屋,基隆市,43298.37390551333
仁愛區,1110214,75.99,5800000,0,成屋,基隆市,76325.83234636136
安樂區,1110219,89.18,7600000,0,成屋,基隆市,85220.90154743215
中正區,1110216,159.03,6500000,0,成屋,基隆市,40872.79129723951
仁愛區,1110221,127.8,7200000,0,成屋,基隆市,56338.028169014084
仁愛區,1110212,118.37,4500000,0,成屋,基隆市,38016.38928782631
信義區,1110223,315.58,14600000,0,成屋,基隆市,46264.02180112808
中正區,1110215,30.9,1720000,0,成屋,基隆市,55663.43042071198
仁愛區,1110218,107.59,7700000,0,成屋,基隆市,71567.9895901106
暖暖區,1110226,78.51,2100000,0,成屋,基隆市,26748.184944593042
七堵區,1110215,116.85,9500000,0,成屋,基隆市,81300.81300813009
中正區,1110207,108.68,3200000,0,成屋,基隆市,29444.23997055576
七堵區,1110218,84.72999999999999,6773000,0,成屋,基隆市,79936.26814587515
中正區,1110209,92.76,5400000,0,成屋,基隆市,58214.74773609314
暖暖區,1110103,78.51,2100000,0,成屋,基隆市,26748.184944593042
中山區,1110101,92.61,6080000,0,成屋,基隆市,65651.65748839219
信義區,1110103,130.18,13500000,0,成屋,基隆市,103702.56567829159
信義區,1110103,147.54,10500000,0,成屋,基隆市,71167.1411142741
安樂區,1110109,91.13,3200000,0,成屋,基隆市,35114.67134862285
中正區,1110110,47.8,2650000,0,成屋,基隆市,55439.33054393306
安樂區,1110103,149.23,6500000,0,成屋,基隆市,43556.92555116264
安樂區,1110106,73.31,7450000,0,成屋,基隆市,101623.24375937798
七堵區,1110108,268.29999999999995,9600000,0,成屋,基隆市,35780.84234066344
中山區,1110110,105.27,21000000,0,成屋,基隆市,199487.03334283273
中山區,1110110,58.01,2000000,0,成屋,基隆市,34476.814342354766
信義區,1110104,150.37,11300000,0,成屋,基隆市,75147.96834474962
中正區,1110106,121.87,6000000,0,成屋,基隆市,49232.78903749897
信義區,1110106,214.46,8000000,0,成屋,基隆市,37302.993565233606
七堵區,1110103,175.38,9800000,0,成屋,基隆市,55878.66347360019
安樂區,1110117,114.94,5000000,0,成屋,基隆市,43500.95702105446
七堵區,1110101,41.99,2440000,0,成屋,基隆市,58109.073588949745
安樂區,1110117,68.65,3850000,0,成屋,基隆市,56081.573197378
中正區,1110110,66.7,2850000,0,成屋,基隆市,42728.63568215892
中正區,1110103,41.8,2200000,0,成屋,基隆市,52631.57894736843
中山區,1110107,77.66,2700000,0,成屋,基隆市,34766.93278392995
信義區,1110111,79.74,2730000,0,成屋,基隆市,34236.26787057939
信義區,1110110,77.44,2100000,0,成屋,基隆市,27117.76859504132
仁愛區,1110110,49.89,3600000,0,成屋,基隆市,72158.74924834636
中正區,1110103,90.46,1600000,0,成屋,基隆市,17687.375635640063
信義區,1110117,106.6,4000000,0,成屋,基隆市,37523.4521575985
中正區,1110118,32.57,1650000,0,成屋,基隆市,50660.11667178385
暖暖區,1110113,107.42,5750000,0,成屋,基隆市,53528.20703779557
安樂區,1110112,51.9,2350000,0,成屋,基隆市,45279.383429672445
安樂區,1110108,86.69999999999999,3430000,0,成屋,基隆市,39561.707035755484
安樂區,1110107,107.32,3500000,0,成屋,基隆市,32612.746925083862
七堵區,1110112,80.89,3500000,0,成屋,基隆市,43268.636419829396
暖暖區,1110103,109.22,4000000,0,成屋,基隆市,36623.32906061161
中正區,1110108,65.27,2960000,0,成屋,基隆市,45350.08426535928
中正區,1110103,194.34,10900000,0,成屋,基隆市,56087.26973345683
仁愛區,1110118,112.27,6200000,0,成屋,基隆市,55224.013538790416
暖暖區,1110106,145.1,6200000,0,成屋,基隆市,42729.152308752586
安樂區,1110112,75.54,2900000,0,成屋,基隆市,38390.256817580084
安樂區,1110105,128.4,8200000,0,成屋,基隆市,63862.928348909656
七堵區,1110117,98.61,5500000,0,成屋,基隆市,55775.27634114187
七堵區,1110118,108.42,6200000,0,成屋,基隆市,57185.021213798194
中山區,1110117,103.43,2300000,0,成屋,基隆市,22237.261916271873
七堵區,1110103,215.77,12200000,0,成屋,基隆市,56541.687908421
仁愛區,1110108,45.99,1750000,0,成屋,基隆市,38051.7503805175
信義區,1110109,50.7,2310000,0,成屋,基隆市,45562.13017751479
中正區,1110116,162.76999999999998,6500000,0,成屋,基隆市,39933.64870676415
暖暖區,1110108,99.32,2000000,0,成屋,基隆市,20136.93113169553
暖暖區,1110105,146.88,5514300,0,成屋,基隆市,37542.89215686275
七堵區,1110125,60.14,3100000,0,成屋,基隆市,51546.39175257732
