縣市,鄉鎮市區,4年來平均房屋單價（元/坪）,房價分群
台北市,中山區,791763.85,高房價
台北市,中正區,901666.29,高房價
台北市,信義區,848102.87,高房價
台北市,內湖區,632315.41,高房價
台北市,北投區,755376.35,高房價
台北市,南港區,701302.03,高房價
台北市,士林區,645008.63,高房價
台北市,大同區,727164.67,高房價
台北市,大安區,1012703.54,高房價
台北市,文山區,571994.97,高房價
台北市,松山區,857858.67,高房價
台北市,萬華區,576800.47,高房價
基隆市,七堵區,215236.21,中低房價
基隆市,中山區,236769.52,中低房價
基隆市,中正區,183230.39,低房價
基隆市,仁愛區,234185.36,中低房價
基隆市,信義區,182906.92,低房價
基隆市,安樂區,186666.27,低房價
基隆市,暖暖區,222868.77,中低房價
新北市,三峽區,318184.4,中高房價
新北市,三芝區,172367.25,低房價
新北市,三重區,477753.96,高房價
新北市,中和區,463451.83,中高房價
新北市,五股區,320092.97,中高房價
新北市,八里區,224998.93,中低房價
新北市,土城區,418571.49,中高房價
新北市,坪林區,472177.56,高房價
新北市,平溪區,295621.97,中高房價
新北市,新店區,447570.44,中高房價
新北市,新莊區,411854.56,中高房價
新北市,板橋區,491263.68,高房價
新北市,林口區,365500.63,中高房價
新北市,樹林區,324174.69,中高房價
新北市,永和區,529647.55,高房價
新北市,汐止區,338867.1,中高房價
新北市,泰山區,366751.09,中高房價
新北市,淡水區,257845.24,中低房價
新北市,深坑區,290829.0,中高房價
新北市,烏來區,197665.83,中低房價
新北市,瑞芳區,123579.27,低房價
新北市,石碇區,174794.74,低房價
新北市,石門區,94334.12,低房價
新北市,萬里區,114847.5,低房價
新北市,蘆洲區,416396.74,中高房價
新北市,貢寮區,92574.6,低房價
新北市,金山區,169346.45,低房價
新北市,雙溪區,118315.32,低房價
新北市,鶯歌區,256188.41,中低房價
桃園市,中壢區,284091.85,中高房價
桃園市,八德區,254858.38,中低房價
桃園市,大園區,258124.69,中低房價
桃園市,大溪區,187103.32,低房價
桃園市,平鎮區,218128.0,中低房價
桃園市,復興區,114513.91,低房價
桃園市,新屋區,219494.65,中低房價
桃園市,桃園區,285608.72,中高房價
桃園市,楊梅區,193598.32,低房價
桃園市,蘆竹區,267092.09,中低房價
桃園市,觀音區,227761.66,中低房價
桃園市,龍潭區,193476.25,低房價
桃園市,龜山區,278086.67,中低房價
