縣市,行政區,4年總淨遷移,4年平均人口,4年淨遷移率（‰）,縣市行政區
基隆市,中正區,1058,50719.625,20.86,基隆市中正區
基隆市,七堵區,-46,53029.08333,-0.87,基隆市七堵區
基隆市,暖暖區,571,38404.89583,14.87,基隆市暖暖區
基隆市,仁愛區,-789,41452.85417,-19.03,基隆市仁愛區
基隆市,中山區,773,45536.54167,16.98,基隆市中山區
基隆市,安樂區,-109,79145.79167,-1.38,基隆市安樂區
基隆市,信義區,1066,53114.02083,20.07,基隆市信義區
基隆市,總計,2524,362902.8125,6.96,基隆市總計
新北市,板橋區,1865,552828.1458,3.37,新北市板橋區
新北市,三重區,4324,381978.1042,11.32,新北市三重區
新北市,中和區,2226,405889.6667,5.48,新北市中和區
新北市,永和區,-777,214498.0417,-3.62,新北市永和區
新北市,新莊區,3713,422019.5625,8.8,新北市新莊區
新北市,新店區,9212,301786.0625,30.52,新北市新店區
新北市,樹林區,-3658,180816.6458,-20.23,新北市樹林區
新北市,鶯歌區,2262,88500.08333,25.56,新北市鶯歌區
新北市,三峽區,-595,115698.4792,-5.14,新北市三峽區
新北市,淡水區,19015,189837.8125,100.16,新北市淡水區
新北市,汐止區,7340,207374.0417,35.39,新北市汐止區
新北市,瑞芳區,-1496,37717.875,-39.66,新北市瑞芳區
新北市,土城區,3880,238868.9583,16.24,新北市土城區
新北市,蘆洲區,-3595,200390.5,-17.94,新北市蘆洲區
新北市,五股區,4650,91610.5625,50.76,新北市五股區
新北市,泰山區,-495,77438.375,-6.39,新北市泰山區
新北市,林口區,13937,128607.6875,108.37,新北市林口區
新北市,深坑區,294,23629.22917,12.44,新北市深坑區
新北市,石碇區,-227,7296.916667,-31.11,新北市石碇區
新北市,坪林區,-86,6532.979167,-13.16,新北市坪林區
新北市,三芝區,199,22222.70833,8.95,新北市三芝區
新北市,石門區,-802,10943.3125,-73.29,新北市石門區
新北市,八里區,3259,41006.41667,79.48,新北市八里區
新北市,平溪區,-24,4236.770833,-5.66,新北市平溪區
新北市,雙溪區,-238,8070.854167,-29.49,新北市雙溪區
新北市,貢寮區,-549,11240.54167,-48.84,新北市貢寮區
新北市,金山區,-578,20579.0625,-28.09,新北市金山區
新北市,萬里區,-437,21118.20833,-20.69,新北市萬里區
新北市,烏來區,-100,6320.645833,-15.82,新北市烏來區
新北市,總計,854,4019058.25,0.21,新北市總計
臺北市,松山區,-4739,192828.9583,-24.58,臺北市松山區
臺北市,信義區,-6258,206486.2708,-30.31,臺北市信義區
臺北市,大安區,-6426,290500.6875,-22.12,臺北市大安區
臺北市,中山區,-3586,215531.2083,-16.64,臺北市中山區
臺北市,中正區,-5072,149979.2917,-33.82,臺北市中正區
臺北市,大同區,-3615,120104.4167,-30.1,臺北市大同區
臺北市,萬華區,-7994,174825.5417,-45.73,臺北市萬華區
臺北市,文山區,-5840,260322.5417,-22.43,臺北市文山區
臺北市,南港區,-5754,114617.6875,-50.2,臺北市南港區
臺北市,內湖區,-6055,275630.5417,-21.97,臺北市內湖區
臺北市,士林區,-6024,267697.5417,-22.5,臺北市士林區
臺北市,北投區,-8273,243000.5208,-34.05,臺北市北投區
臺北市,總計,-3037,2511525.208,-1.21,臺北市總計
桃園市,桃園區,13756,464718.5,29.6,桃園市桃園區
桃園市,中壢區,7833,426427.1875,18.37,桃園市中壢區
桃園市,平鎮區,-901,228595.7917,-3.94,桃園市平鎮區
桃園市,八德區,4454,211212.8958,21.09,桃園市八德區
桃園市,楊梅區,5246,174894.5417,30,桃園市楊梅區
桃園市,大溪區,-871,94691.5625,-9.2,桃園市大溪區
桃園市,蘆竹區,1617,167754.0833,9.64,桃園市蘆竹區
桃園市,大園區,-2110,88585.4375,-23.82,桃園市大園區
桃園市,龜山區,18134,172988.0208,104.83,桃園市龜山區
桃園市,龍潭區,2856,125427.0833,22.77,桃園市龍潭區
桃園市,新屋區,595,49230.54167,12.09,桃園市新屋區
桃園市,觀音區,6725,72540.83333,92.71,桃園市觀音區
桃園市,復興區,762,12900,59.07,桃園市復興區
桃園市,總計,-2824,2293266.479,-1.23,桃園市總計
