新北市,10912,11001,11002,11003,11004,11005,11006,11007,11008,11009,11010,11011,11012,11101,11102,11103,11104,11105,11106,11107,11108,11109,11110,11111,11112,11201,11202,11203,11204,11205,11206,11207,11208,11209,11210,11211,11212,11301,11302,11303,11304,11305,11306,11307,11308,11309,11310,11311,11312
板橋區,-159,-100,-180,-85,-158,-276,-377,-136,-358,-852,-561,-460,-602,-471,-742,"-1,247","-1,808",-33,-78,207,-8,72,414,697,"1,026","1,250",670,715,628,616,419,569,359,353,254,85,131,149,243,140,155,28,158,86,196,218,-11,8,-217
三重區,-207,-228,-166,-335,-215,-246,-162,-314,-72,-290,-393,-327,-180,-369,-436,-502,"-1,244",36,-5,286,282,159,105,509,559,814,313,423,407,383,398,709,451,541,238,94,-38,15,122,3,186,60,137,352,332,336,170,34,148
中和區,-436,-245,-19,-452,-182,-325,-389,-477,-155,-570,-563,-550,-536,-769,-558,"-1,593","-1,835",-46,140,342,357,344,380,699,782,"1,072",507,744,544,406,413,790,361,357,180,144,151,82,-19,-145,198,-145,-26,24,6,229,218,-8,7
永和區,-30,-125,-36,-94,-51,-136,-394,-309,-541,-461,-206,-541,-884,-716,-383,-885,"-1,273",-234,-90,-61,69,15,336,504,784,776,457,592,412,356,236,226,32,3,170,5,299,82,55,237,9,28,-7,-77,11,-234,-92,26,60
新莊區,66,193,84,-32,-8,-125,-186,-196,-300,-350,-189,-280,-431,-450,-343,"-1,062","-1,145",-47,98,142,92,249,175,363,604,897,483,433,410,433,301,532,276,44,30,118,79,125,115,206,102,13,87,-37,13,119,86,-92,-123
新店區,-78,-126,-54,-90,-235,-225,-333,-277,-154,-307,-280,-676,-428,-501,-393,"-1,030","-2,590",190,323,585,398,471,675,868,"1,115","1,102",705,846,656,765,735,798,485,566,410,262,321,420,342,227,118,269,320,354,247,404,270,138,123
樹林區,-47,-147,-113,-123,-106,-124,-36,-174,-105,-104,-207,-211,-245,-280,-186,-452,-482,-360,-124,-37,50,-41,76,55,214,251,15,100,71,17,33,250,108,116,-7,43,-104,-74,-42,-166,-72,-154,-66,-88,-110,-230,-61,-59,-167
鶯歌區,11,-1,-1,7,70,94,70,195,-9,20,6,-21,8,68,-63,-20,-145,61,60,108,138,52,47,74,113,90,71,45,41,138,54,142,-29,70,107,28,73,35,37,51,-38,59,-8,49,79,101,46,65,25
三峽區,-55,-8,-69,-26,-8,-54,-44,-102,-162,-79,-106,-48,-82,-106,-31,-197,-354,-44,17,-50,-35,36,51,72,138,167,41,121,14,92,64,121,-8,-17,-7,-12,25,6,32,-34,-50,1,38,8,-46,42,55,2,41
淡水區,259,214,221,267,141,153,31,205,231,259,4,81,149,10,-73,-212,-156,-408,359,473,492,521,489,664,850,826,699,748,535,556,610,711,551,579,493,397,408,648,553,458,502,667,409,559,580,735,614,655,557
汐止區,152,-12,77,-14,80,-21,-211,26,146,239,-10,22,83,-25,-44,-178,-647,-216,-158,333,314,236,205,346,644,512,370,485,314,347,327,488,387,279,270,153,38,175,127,158,126,99,82,213,187,367,311,163,147
瑞芳區,-35,-55,-32,-31,-31,-4,11,-33,-44,-54,-20,-24,-78,-69,-23,-45,-73,-82,-27,-37,-65,-23,-20,11,21,1,-31,-53,5,-5,-8,7,-12,-46,6,-16,-12,-30,-68,-52,-19,-44,-12,-2,-82,-92,-14,-50,-40
土城區,66,-79,49,28,-62,-123,-78,-27,-63,-183,-225,-94,-65,-86,-82,-421,-527,-88,69,187,115,145,259,225,445,509,297,458,383,423,363,392,84,222,229,119,215,138,207,139,2,22,-71,48,65,175,11,7,124
蘆洲區,-80,80,0,-28,-58,-84,-186,-109,-158,-101,-193,-73,-232,-170,-64,-419,-361,-536,-202,12,-139,-42,25,87,203,289,50,120,30,-39,11,187,3,-169,-34,-42,-14,-27,-1,-129,-182,-236,-111,-47,-50,-156,-114,-45,-141
五股區,144,68,48,56,174,21,103,91,164,165,47,8,21,51,-62,-28,-125,196,88,142,193,129,70,97,203,257,52,81,131,110,87,231,130,51,110,77,105,134,65,131,203,292,26,120,126,116,78,14,3
泰山區,-111,-7,-14,-129,-176,-87,-43,-122,-22,-169,-82,-73,-87,-57,-100,-131,-176,-216,-5,-16,31,21,-2,92,117,131,88,35,-2,34,7,101,56,43,-11,58,79,77,36,57,-13,57,21,32,-21,27,-44,33,77
林口區,413,230,266,397,354,200,63,163,275,461,217,117,294,124,42,-71,-366,139,290,445,422,381,391,527,634,593,455,606,395,461,358,451,372,342,310,299,321,363,341,280,284,307,216,264,184,181,211,80,268
深坑區,-19,25,28,14,-2,10,-26,-3,13,-23,-27,-29,-2,-61,-31,-58,-57,9,25,-24,4,51,28,40,28,71,29,37,19,26,30,16,-2,31,-2,23,-3,28,-2,-9,5,10,-15,-11,-4,9,43,9,24
石碇區,-5,8,-9,-19,-26,14,4,0,1,9,14,2,-11,-2,-21,-28,-25,-16,-15,0,0,-3,-9,-15,3,-10,-9,2,-17,-11,2,2,-1,-18,3,-11,-2,-16,-4,-9,4,-12,17,16,18,-9,0,-17,-1
坪林區,8,0,-4,0,3,3,4,-8,-4,-1,-6,-10,-6,7,-14,9,-5,3,4,4,-15,1,7,7,2,10,-2,-18,2,-5,10,9,-8,-11,-8,-8,-3,4,5,-4,-2,-14,6,-13,3,-11,-10,-10,11
三芝區,8,3,-5,-5,2,5,-6,0,-2,-32,7,-17,-18,-32,-48,-15,-66,30,11,10,47,-20,51,43,9,41,-29,8,19,2,3,-15,-5,19,26,15,27,-7,0,-14,45,-11,11,-3,18,14,35,34,14
