桃園市,10912,11001,11002,11003,11004,11005,11006,11007,11008,11009,11010,11011,11012,11101,11102,11103,11104,11105,11106,11107,11108,11109,11110,11111,11112,11201,11202,11203,11204,11205,11206,11207,11208,11209,11210,11211,11212,11301,11302,11303,11304,11305,11306,11307,11308,11309,11310,11311,11312
桃園區,234,86,305,301,137,-112,105,84,-117,-71,-58,-58,-123,60,-221,-23,"-1,076",-203,330,574,508,546,560,700,"1,174","1,426",748,"1,092",755,480,718,793,493,275,448,430,388,490,353,482,271,580,509,436,370,408,390,390,239
中壢區,196,86,48,-97,-167,-165,-60,-143,12,-41,-203,-203,-149,-383,-336,-488,-992,-181,159,341,258,225,331,675,"1,074","1,174",647,679,539,704,545,709,657,375,372,245,272,360,316,295,152,334,188,334,145,504,346,361,227
平鎮區,-86,19,-52,-130,-42,-82,16,-48,-170,-290,-199,-199,-75,-344,-114,-333,-431,-79,25,-1,41,5,152,126,183,351,150,200,24,143,207,240,113,6,46,87,42,46,-28,-37,-41,-134,5,-126,79,-176,-67,-138,129
八德區,163,28,-64,-54,-36,-12,27,2,3,78,20,20,-25,-129,-48,-95,-427,2,55,1,21,72,122,210,283,444,237,207,234,236,195,459,406,319,162,191,113,231,151,88,55,116,38,122,109,92,89,27,79
楊梅區,77,141,109,217,27,8,138,85,78,24,80,80,52,90,43,-259,-349,-12,86,202,174,194,58,142,233,352,252,202,241,32,223,235,170,167,171,106,83,77,25,87,117,78,158,118,121,257,233,87,13
大溪區,-82,-54,7,-70,-140,-82,-7,-54,-51,-94,-61,-61,-131,-50,-94,-218,-176,-42,-35,-6,13,-47,20,95,52,148,57,97,18,140,89,70,42,-72,-87,-44,-34,28,-9,4,80,5,3,-33,-13,15,-52,3,-40
蘆竹區,-42,-89,-136,-108,-68,-101,-94,-17,24,-248,-76,-76,-170,-149,-128,164,-288,-253,113,70,151,-60,133,304,382,327,121,42,299,162,208,331,39,-19,138,102,56,8,-60,61,107,41,44,2,50,93,63,32,90
大園區,129,-31,-9,-39,3,-81,-87,-115,-177,-399,-329,-329,-523,-706,"-1,052","-3,186",-299,-116,-104,17,-24,-41,-65,-207,-469,44,-44,38,-8,46,106,25,83,149,21,31,113,73,-1,88,71,160,139,161,118,153,36,136,282
龜山區,-53,45,138,263,164,90,200,185,282,187,5,5,219,213,102,463,422,140,457,716,748,565,484,348,631,628,759,603,419,614,537,712,468,392,164,181,248,289,325,302,310,406,401,694,638,720,388,472,392
龍潭區,-12,-1,-2,-35,-40,-23,7,62,-24,-53,-12,-12,-18,-81,-65,-38,-221,14,134,296,4,71,104,104,229,291,75,150,112,59,129,215,372,116,100,47,19,65,35,116,59,17,77,75,50,60,31,65,121
新屋區,6,-15,13,-44,-21,-16,3,5,-32,0,-38,-38,-9,3,13,46,-59,12,-5,47,53,35,28,5,72,63,-9,81,50,22,-12,37,21,-10,37,-10,21,-43,4,0,54,43,65,71,21,-1,48,-18,2
觀音區,71,69,23,61,-3,24,65,51,154,49,113,113,168,235,212,682,19,182,159,293,325,180,201,196,308,149,141,158,118,154,85,155,123,101,114,111,95,106,96,75,61,102,90,227,127,186,105,85,82
復興區,22,31,7,-39,-9,9,8,15,41,17,28,28,102,33,12,4,0,49,85,40,24,16,-8,35,77,33,6,2,16,1,-27,10,-6,0,31,14,45,13,-7,-27,2,-1,-11,-4,17,-14,20,15,29
總計,623,315,387,226,-195,-543,321,112,23,-841,-730,-730,-682,"-1,208","-1,676","-3,281","-3,877",-487,"1,459","2,590","2,296","1,761","2,120","2,733","4,229","5,430","3,140","3,551","2,817","2,793","3,003","3,991","2,981","1,799","1,717","1,491","1,461","1,743","1,200","1,534","1,298","1,747","1,706","2,077","1,832","2,297","1,630","1,517","1,645"
