台北市,11001,11002,11003,11004,11005,11006,11007,11008,11009,11010,11011,11012,11101,11102,11103,11104,11105,11106,11107,11108,11109,11110,11111,11112,11201,11202,11203,11204,11205,11206,11207,11208,11209,11210,11211,11212,11301,11302,11303,11304,11305,11306,11307,11308,11309,11310,11311,11312
松山區,199971,199656,199037,198603,198120,197740,196890,195964,194976,194600,194070,193388,192511,191481,189961,188926,188069,187965,187940,187857,187552,187993,188799,189939,190772,191091,191599,191934,192325,192568,192831,192751,192506,192847,193075,193399,193453,193522,193625,193653,193610,193486,193316,193110,192442,192128,191913,191826
信義區,214669,214178,213272,212559,211920,211559,210936,210134,209299,208665,208079,207500,206209,205343,204052,203098,202379,201846,201694,201787,201951,202368,202981,203780,204414,204553,204983,205483,205760,205984,206275,206330,206311,206540,206624,206759,206666,206504,206284,206356,206202,206168,206014,205753,205532,205340,205181,205067
大安區,301912,301178,300705,299823,298891,297899,296546,295058,293625,292875,292233,291410,290419,289649,288292,287544,285886,282337,280696,280720,280332,281411,283034,284557,285933,286625,287706,288646,289525,290188,290472,290395,290387,290890,291280,291732,291687,291721,291851,291949,291793,291756,291353,290857,290363,289994,289990,289908
中山區,223438,222978,222295,221679,220944,220540,219840,219059,218154,217277,216556,215567,214563,213203,211945,210447,209798,209855,210000,210047,210156,210776,211591,212669,213393,213544,214040,214467,214884,215231,215697,215778,215852,216088,216161,216346,216359,216246,216045,216125,216054,216082,215971,215765,215729,215559,215460,215245
中正區,155257,155045,154769,154461,154098,153670,153172,152487,151885,151326,151021,150644,149962,149338,148249,147482,146995,147034,146901,146726,146628,146970,147515,148103,148505,148693,149134,149415,149710,149886,150047,149911,149733,149803,149975,150155,150154,150162,150179,150208,150015,149838,149798,149445,148958,148663,148506,148375
大同區,123648,123490,123461,123334,123085,122952,122719,122185,121747,121468,121055,120772,120224,119885,119188,118445,118331,118281,118164,118027,118065,118354,118554,118833,119123,119205,119366,119497,119610,119706,119738,119786,119778,119823,119842,119930,119957,119919,119962,119869,119847,119797,119600,119477,119453,119278,119190,118992
萬華區,182625,182216,181553,181044,180396,179969,179485,178884,178362,177799,177159,176617,175961,175373,174390,173345,173088,172855,172832,172768,172692,172819,173004,173040,173209,173193,173265,173326,173352,173357,173537,173666,173716,173843,173697,173652,173431,173256,173071,172944,172764,172660,172473,172431,172334,172172,172086,171915
文山區,267830,267485,266910,266439,265885,265547,264975,264145,263442,262791,262261,261576,260641,259768,258278,256942,256311,256262,256288,256062,256097,256418,256948,257558,258279,258419,258757,259110,259358,259734,259870,259851,259732,259981,260148,260313,260298,260228,260166,260023,259953,259886,259735,259582,259228,258958,258681,258333
南港區,118548,118314,118022,117777,117606,117435,117188,116867,116576,116419,116157,115780,115384,115009,114285,113641,113660,113645,113650,113573,113608,113612,113720,113798,113920,113795,113831,113881,113881,113930,113940,113930,113925,113981,113950,113959,113893,113875,113776,113682,113585,113477,113377,113313,113104,112935,112792,112643
內湖區,281975,281615,281124,280785,280318,280086,279598,278922,278246,277880,277224,276707,275847,274842,273414,271853,271594,271490,271495,271422,271426,271749,272202,272963,273783,274074,274538,274888,275221,275447,275658,275573,275633,275847,275982,276180,276173,276131,276010,275843,275737,275654,275498,275109,274558,274241,273963,273748
士林區,277933,277308,276557,275823,275204,274775,274056,273274,272454,271854,270770,269682,268608,267597,266036,264537,263527,263013,263032,262985,262807,263360,264019,264716,265462,265596,265938,266173,266355,266563,266868,266653,266607,266809,266861,266951,266841,266680,266562,266410,266171,266102,265812,265627,265075,264726,264519,264194
北投區,249829,249415,248955,248679,248237,247918,247333,246819,245954,245345,245074,244750,244096,243109,242355,241864,240961,239869,239790,239721,239618,239780,240180,240725,241250,241345,241656,241668,242007,242093,242210,242164,242071,242206,242299,242510,242379,242233,242209,242050,241942,241861,241784,241624,241434,241102,240929,240623
總計,2597635,2592878,2586660,2581006,2574704,2570090,2562738,2553798,2544720,2538299,2531659,2524393,2514425,2504597,2490445,2478124,2470599,2464452,2462482,2461695,2460932,2465610,2472547,2480681,2488043,2490133,2494813,2498488,2501988,2504687,2507143,2506788,2506251,2508658,2509894,2511886,2511291,2510477,2509740,2509112,2507673,2506767,2504731,2502093,2498210,2495096,2493210,2490869
